"Time";"Teste.last"
"2020-05-27 19:22:25";4.78
"2020-05-27 19:22:25";4.67
"2020-05-27 19:22:26";5.11
"2020-05-27 19:22:27";5.3
"2020-05-27 19:22:27";3.83
"2020-05-27 19:22:28";4.01
"2020-05-27 19:22:29";5.1
"2020-05-27 19:22:30";4.09
"2020-05-27 19:22:30";4.53
"2020-05-27 19:22:31";4.07
"2020-05-27 19:22:32";4.11
"2020-05-27 19:22:32";3.51
"2020-05-27 19:22:33";3.5
"2020-05-27 19:22:34";3.65
"2020-05-27 19:22:34";4.09
"2020-05-27 19:22:35";4.67
"2020-05-27 19:22:36";4.45
"2020-05-27 19:22:37";4.75
"2020-05-27 19:22:37";3.54
"2020-05-27 19:22:38";3.51
"2020-05-27 19:22:39";3.52
"2020-05-27 19:22:39";5
"2020-05-27 19:22:40";5.32
"2020-05-27 19:22:41";4.93
"2020-05-27 19:22:41";4.5
"2020-05-27 19:22:42";4.14
"2020-05-27 19:22:43";4.52
"2020-05-27 19:22:44";3.74
"2020-05-27 19:22:44";4.1
"2020-05-27 19:22:45";3.77
"2020-05-27 19:22:46";4.82
"2020-05-27 19:22:46";5.05
"2020-05-27 19:22:47";4.12
"2020-05-27 19:22:48";3.95
"2020-05-27 19:22:49";4.45
"2020-05-27 19:22:50";3.87
"2020-05-27 19:22:50";5.28
"2020-05-27 19:22:51";159.73
"2020-05-27 19:22:51";4.6
"2020-05-27 19:22:52";3.8
"2020-05-27 19:22:53";5.13
"2020-05-27 19:22:53";5.03
"2020-05-27 19:22:54";4.18
"2020-05-27 19:22:55";4.81
"2020-05-27 19:22:55";4.72
"2020-05-27 19:22:56";4.88
"2020-05-27 19:22:57";4.68
"2020-05-27 19:22:57";5.24
"2020-05-27 19:22:58";4.27
"2020-05-27 19:22:59";3.84
"2020-05-27 19:23:00";4.69
"2020-05-27 19:23:00";5.09
"2020-05-27 19:23:01";4.4
"2020-05-27 19:23:02";4.62
"2020-05-27 19:23:02";4.56
"2020-05-27 19:23:03";4.42
"2020-05-27 19:23:04";4.52
"2020-05-27 19:23:04";4.48
"2020-05-27 19:23:05";4.61
"2020-05-27 19:23:06";4.81
"2020-05-27 19:23:07";4.07
"2020-05-27 19:23:07";4.12
"2020-05-27 19:23:08";4.42
"2020-05-27 19:23:09";3.8
"2020-05-27 19:23:09";3.56
"2020-05-27 19:23:10";3.75
"2020-05-27 19:23:11";4.11
"2020-05-27 19:23:11";4.72
"2020-05-27 19:23:12";4.28
"2020-05-27 19:23:13";4.3
"2020-05-27 19:23:14";5.01
"2020-05-27 19:23:14";3.59
"2020-05-27 19:23:15";3.51
"2020-05-27 19:23:16";4.24
"2020-05-27 19:23:16";4.66
"2020-05-27 19:23:17";5.17
"2020-05-27 19:23:18";3.82
"2020-05-27 19:23:18";4.39
"2020-05-27 19:23:19";4.4
"2020-05-27 19:23:20";3.51
"2020-05-27 19:23:21";4.64
"2020-05-27 19:23:21";3.59
"2020-05-27 19:23:22";4.91
"2020-05-27 19:23:23";3.84
"2020-05-27 19:23:23";4.85
"2020-05-27 19:23:24";3.55
"2020-05-27 19:23:25";4.62
"2020-05-27 19:23:26";4.63
"2020-05-27 19:23:26";3.88
"2020-05-27 19:23:27";4.75
"2020-05-27 19:23:28";4.04
"2020-05-27 19:23:28";4.08
"2020-05-27 19:23:29";4.21
"2020-05-27 19:23:30";3.84
"2020-05-27 19:23:30";4.14
"2020-05-27 19:23:31";4.21
"2020-05-27 19:23:32";4.84
"2020-05-27 19:23:33";3.64
"2020-05-27 19:23:33";5.13
"2020-05-27 19:23:34";3.74
"2020-05-27 19:23:35";4.78
"2020-05-27 19:23:35";3.94
"2020-05-27 19:23:36";4.67
"2020-05-27 19:23:37";4.46
"2020-05-27 19:23:37";4.3
"2020-05-27 19:23:38";5.05
"2020-05-27 19:23:39";5.31
"2020-05-27 19:23:40";5.4
"2020-05-27 19:23:40";5.43
"2020-05-27 19:23:41";4.92
"2020-05-27 19:23:42";4.04
"2020-05-27 19:23:42";3.53
"2020-05-27 19:23:43";4.69
"2020-05-27 19:23:44";4.33
"2020-05-27 19:23:44";4.41
"2020-05-27 19:23:45";4.59
"2020-05-27 19:23:46";3.58
"2020-05-27 19:23:47";3.91
"2020-05-27 19:23:47";5.24
"2020-05-27 19:23:48";4.79
"2020-05-27 19:23:49";4.55
"2020-05-27 19:23:49";5.05
"2020-05-27 19:23:50";5.28
"2020-05-27 19:23:51";5.08
"2020-05-27 19:23:51";5.26
"2020-05-27 19:23:52";5.12
"2020-05-27 19:23:53";3.55
"2020-05-27 19:23:54";3.95
"2020-05-27 19:23:54";3.66
"2020-05-27 19:23:55";4.5
"2020-05-27 19:23:56";3.98
"2020-05-27 19:23:56";4.09
"2020-05-27 19:23:57";4.56
"2020-05-27 19:23:58";4.6
"2020-05-27 19:23:59";3.76
"2020-05-27 19:23:59";3.65
"2020-05-27 19:24:00";4.13
"2020-05-27 19:24:01";5.11
"2020-05-27 19:24:01";4.96
"2020-05-27 19:24:02";3.55
"2020-05-27 19:24:03";4.65
"2020-05-27 19:24:04";4.89
"2020-05-27 19:24:04";4.35
"2020-05-27 19:24:05";4.87
"2020-05-27 19:24:06";4.98
"2020-05-27 19:24:06";5.32
"2020-05-27 19:24:07";3.98
"2020-05-27 19:24:08";4.03
"2020-05-27 19:24:08";4.64
"2020-05-27 19:24:09";4.84
"2020-05-27 19:24:10";5.16
"2020-05-27 19:24:11";5.5
"2020-05-27 19:24:11";3.8
"2020-05-27 19:24:12";4.72
"2020-05-27 19:24:13";5.16
"2020-05-27 19:24:13";3.72
"2020-05-27 19:24:14";4.85
"2020-05-27 19:24:15";4.26
"2020-05-27 19:24:15";5.39
"2020-05-27 19:24:16";4.73
"2020-05-27 19:24:17";4.42
"2020-05-27 19:24:18";4.23
"2020-05-27 19:24:18";5.44
"2020-05-27 19:24:19";4.75
"2020-05-27 19:24:20";4.45
"2020-05-27 19:24:20";4.04
"2020-05-27 19:24:21";3.76
"2020-05-27 19:24:22";4.19
"2020-05-27 19:24:23";3.99
"2020-05-27 19:24:23";4.55
"2020-05-27 19:24:24";3.92
"2020-05-27 19:24:25";4.07
"2020-05-27 19:24:25";5.4
"2020-05-27 19:24:26";4.01
"2020-05-27 19:24:27";3.6
"2020-05-27 19:24:27";3.81
"2020-05-27 19:24:28";5.02
"2020-05-27 19:24:29";4.66
"2020-05-27 19:24:30";4.73
"2020-05-27 19:24:30";3.62
"2020-05-27 19:24:31";4.44
"2020-05-27 19:24:32";5.39
"2020-05-27 19:24:32";5.07
"2020-05-27 19:24:33";4.79
"2020-05-27 19:24:34";3.51
"2020-05-27 19:24:34";5.03
"2020-05-27 19:24:35";4.99
"2020-05-27 19:24:36";4.11
"2020-05-27 19:24:37";4.67
"2020-05-27 19:24:37";4.19
"2020-05-27 19:24:38";5.22
"2020-05-27 19:24:39";4.88
"2020-05-27 19:24:39";5.22
"2020-05-27 19:24:40";4.79
"2020-05-27 19:24:41";3.65
"2020-05-27 19:24:42";3.69
"2020-05-27 19:24:42";4.73
"2020-05-27 19:24:43";3.93
"2020-05-27 19:24:44";4.47
"2020-05-27 19:24:44";3.85
"2020-05-27 19:24:45";4.67
"2020-05-27 19:24:46";4.74
"2020-05-27 19:24:46";3.95
"2020-05-27 19:24:47";5.23
"2020-05-27 19:24:48";5.48
"2020-05-27 19:24:49";5.11
"2020-05-27 19:24:49";4.5
"2020-05-27 19:24:50";4.55
"2020-05-27 19:24:51";5.15
"2020-05-27 19:24:51";5.43
"2020-05-27 19:24:52";3.8
"2020-05-27 19:24:53";5.09
"2020-05-27 19:24:53";4.89
"2020-05-27 19:24:54";5.21
"2020-05-27 19:24:55";4.6
"2020-05-27 19:24:56";4.31
"2020-05-27 19:24:56";3.92
"2020-05-27 19:24:57";3.77
"2020-05-27 19:24:58";5
"2020-05-27 19:24:58";4.57
"2020-05-27 19:24:59";5.24
"2020-05-27 19:25:00";4.85
"2020-05-27 19:25:00";5.1
"2020-05-27 19:25:01";4.15
"2020-05-27 19:25:02";3.56
"2020-05-27 19:25:03";3.93
"2020-05-27 19:25:03";4.6
"2020-05-27 19:25:04";3.93
"2020-05-27 19:25:05";4.42
"2020-05-27 19:25:05";3.61
"2020-05-27 19:25:06";4.1
"2020-05-27 19:25:07";3.54
"2020-05-27 19:25:07";4.47
"2020-05-27 19:25:08";5.24
"2020-05-27 19:25:09";4.99
"2020-05-27 19:25:10";5.37
"2020-05-27 19:25:10";4.97
"2020-05-27 19:25:11";5.27
"2020-05-27 19:25:12";5.48
"2020-05-27 19:25:12";3.98
"2020-05-27 19:25:13";4.6
"2020-05-27 19:25:14";3.55
"2020-05-27 19:25:15";5.05
"2020-05-27 19:25:15";5.41
"2020-05-27 19:25:16";4.91
"2020-05-27 19:25:17";4.72
"2020-05-27 19:25:17";3.93
"2020-05-27 19:25:18";4.35
"2020-05-27 19:25:19";4.66
"2020-05-27 19:25:19";4.41
"2020-05-27 19:25:20";4.85
"2020-05-27 19:25:21";3.7
"2020-05-27 19:25:22";5.4
"2020-05-27 19:25:22";5.16
"2020-05-27 19:25:23";5.39
"2020-05-27 19:25:24";4.93
"2020-05-27 19:25:24";3.58
"2020-05-27 19:25:25";4.43
"2020-05-27 19:25:26";4.94
"2020-05-27 19:25:26";4.06
"2020-05-27 19:25:27";4.51
"2020-05-27 19:25:28";4.76
"2020-05-27 19:25:29";3.82
"2020-05-27 19:25:29";5.28
"2020-05-27 19:25:30";5.31
"2020-05-27 19:25:31";3.76
"2020-05-27 19:25:31";3.58
"2020-05-27 19:25:32";5.44
"2020-05-27 19:25:33";4.28
"2020-05-27 19:25:34";5.21
"2020-05-27 19:25:34";4.38
"2020-05-27 19:25:35";4.13
"2020-05-27 19:25:36";4.12
"2020-05-27 19:25:36";5.26
"2020-05-27 19:25:37";4.73
"2020-05-27 19:25:38";4.98
"2020-05-27 19:25:38";4.83
"2020-05-27 19:25:39";5.41
"2020-05-27 19:25:40";4.93
"2020-05-27 19:25:41";3.65
"2020-05-27 19:25:41";3.91
"2020-05-27 19:25:42";4.17
"2020-05-27 19:25:43";4.97
"2020-05-27 19:25:43";3.65
"2020-05-27 19:25:44";4.82
"2020-05-27 19:25:45";5.01
"2020-05-27 19:25:45";4.28
"2020-05-27 19:25:46";4.5
"2020-05-27 19:25:47";4.79
"2020-05-27 19:25:48";4.72
"2020-05-27 19:25:48";4.6
"2020-05-27 19:25:49";3.51
"2020-05-27 19:25:50";5.2
"2020-05-27 19:25:50";5.44
"2020-05-27 19:25:51";4.57
"2020-05-27 19:25:52";5
"2020-05-27 19:25:53";4.37
"2020-05-27 19:25:53";5.11
"2020-05-27 19:25:54";5.25
"2020-05-27 19:25:55";4.62
"2020-05-27 19:25:55";3.97
"2020-05-27 19:25:56";4.19
"2020-05-27 19:25:57";5.37
"2020-05-27 19:25:57";4.31
"2020-05-27 19:25:58";4.87
"2020-05-27 19:25:59";5.46
"2020-05-27 19:26:00";5.23
"2020-05-27 19:26:00";4
"2020-05-27 19:26:01";4.39
"2020-05-27 19:26:02";4.08
"2020-05-27 19:26:02";5.32
"2020-05-27 19:26:03";4.5
"2020-05-27 19:26:04";4.61
"2020-05-27 19:26:04";3.8
"2020-05-27 19:26:05";4.92
"2020-05-27 19:26:06";3.51
"2020-05-27 19:26:07";3.85
"2020-05-27 19:26:07";5.31
"2020-05-27 19:26:08";3.99
"2020-05-27 19:26:09";3.78
"2020-05-27 19:26:09";5.06
"2020-05-27 19:26:10";5.45
"2020-05-27 19:26:11";3.51
"2020-05-27 19:26:12";4.94
"2020-05-27 19:26:12";4.96
"2020-05-27 19:26:13";4.67
"2020-05-27 19:26:14";4.5
"2020-05-27 19:26:14";5.07
"2020-05-27 19:26:15";4.09
"2020-05-27 19:26:16";3.86
"2020-05-27 19:26:16";4.57
"2020-05-27 19:26:17";5.33
"2020-05-27 19:26:18";4.26
"2020-05-27 19:26:19";4.41
"2020-05-27 19:26:19";4.77
"2020-05-27 19:26:20";4.67
"2020-05-27 19:26:21";4.62
"2020-05-27 19:26:21";3.81
"2020-05-27 19:26:22";5.34
"2020-05-27 19:26:23";4.82
"2020-05-27 19:26:24";5.19
"2020-05-27 19:26:24";3.87
"2020-05-27 19:26:25";5.07
"2020-05-27 19:26:26";4.81
"2020-05-27 19:26:26";4.59
"2020-05-27 19:26:27";5.28
"2020-05-27 19:26:28";4.97
"2020-05-27 19:26:28";4.7
"2020-05-27 19:26:29";3.93
"2020-05-27 19:26:30";4.7
"2020-05-27 19:26:31";4.42
"2020-05-27 19:26:31";5.43
"2020-05-27 19:26:32";5.3
"2020-05-27 19:26:33";4.19
"2020-05-27 19:26:33";4.82
"2020-05-27 19:26:34";4.04
"2020-05-27 19:26:35";4.85
"2020-05-27 19:26:36";5.39
"2020-05-27 19:26:36";4.93
"2020-05-27 19:26:37";3.85
"2020-05-27 19:26:38";3.59
"2020-05-27 19:26:38";5.23
"2020-05-27 19:26:39";4.45
"2020-05-27 19:26:40";3.9
"2020-05-27 19:26:40";3.74
"2020-05-27 19:26:41";3.94
"2020-05-27 19:26:42";3.63
"2020-05-27 19:26:43";5.26
"2020-05-27 19:26:43";4.03
"2020-05-27 19:26:44";5.26
"2020-05-27 19:26:45";4.98
"2020-05-27 19:26:45";3.98
"2020-05-27 19:26:46";4.41
"2020-05-27 19:26:47";5.26
"2020-05-27 19:26:48";4.52
"2020-05-27 19:26:48";4.03
"2020-05-27 19:26:49";4.07
"2020-05-27 19:26:50";4.65
